"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"lightcyan","brown_downAD_mitochondrion__Blalock_AD","Brain",1.35070367892126e-05
"midnightblue","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",1.93378477653235e-05
"midnightblue","brown_downAD_mitochondrion__Blalock_AD","Brain",1.96012783161179e-05
"purple","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",3.36406312725908e-05
"grey60","yellow_Caudate__HumanChimp","Brain",3.85777550273008e-05
"lightcyan","turquoise_M14_Nucleus__MouseMeta","Brain",4.3849017491666e-05
"midnightblue","yellow_M18__CTX","Brain",8.76833420789845e-05
"black","upMacrophageActivagtion_GSE1910__MicrogialMarkers","Brain",0.000101064957854278
"yellow","tan_M13_Neuron__HumanMeta","Brain",0.00013430458633282
"midnightblue","honeydew_M7_Mitochondria__CTX","Brain",0.000184526142734268
"black","Alzheimer_possible__DiseaseGenes","Brain",0.000196408526121276
"yellow","green_CortexAndCerebellum__HumanChimp","Brain",0.000208496917247718
"green","tan_M13_Neuron__HumanMeta","Brain",0.000241019244199431
"grey60","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",0.000281225102120369
"green","CA3specific_Newrzella__CA1vsCA3","Brain",0.000333167687248331
"midnightblue","turquoise_M14_Nucleus__HumanMeta","Brain",0.000396963339280622
"lightyellow","turquoise_M14_Nucleus__HumanMeta","Brain",0.0004487481978766
"green","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.000477577978153322
"black","Astrocyte_probable__Cahoy","Brain",0.000510766081222368
"lightyellow","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.000532368894223277
"yellow","tan_M13_Neuron__MouseMeta","Brain",0.000685374111801565
"purple","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.000705319445010576
"red","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",0.000751545991435018
"yellow","purple_pyramidalNeurons_Layers5&6/basolateralAmygdala__Sugino/Winden","Brain",0.000796018394476106
"lightcyan","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",0.000814047054394224
"lightcyan","turquoise_Cerebellum__HumanChimp","Brain",0.00117231555015
"lightcyan","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",0.00119322029631957
"greenyellow","Neuron__ABA","Brain",0.0012659109113776
