"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"75","darkturquoise",TRUE,4.65e-10,2884,477,160,0.335,0.055,"GO:0034645","BP",1,"cellular macromolecule biosynthetic process",3,NA,2.45868228763876
"76","darkturquoise",TRUE,8.69e-08,2041,477,119,0.249,0.058,"GO:0006351","BP",1,"transcription, DNA-templated",4,NA,2.670706224071
"77","darkturquoise",TRUE,0.000481,3918,477,177,0.371,0.045,"GO:0019222","BP",1,"regulation of metabolic process",1,NA,1.68277765754713
"78","darkturquoise",TRUE,2e-07,2263,477,127,0.266,0.056,"GO:0009889","BP",1,"regulation of biosynthetic process",2,NA,2.48299534775144
"79","darkturquoise",TRUE,9.56e-05,3287,477,157,0.329,0.048,"GO:0060255","BP",1,"regulation of macromolecule metabolic process",2,NA,1.93529099605339
"80","darkturquoise",TRUE,2.53e-09,2125,477,127,0.266,0.06,"GO:0010556","BP",1,"regulation of macromolecule biosynthetic process",3,NA,2.54966721310032
"81","darkturquoise",TRUE,4.24e-06,2271,477,123,0.258,0.054,"GO:0010468","BP",1,"regulation of gene expression",3,NA,2.41889893281498
"82","darkturquoise",TRUE,0.000322,3265,477,154,0.323,0.047,"GO:0080090","BP",1,"regulation of primary metabolic process",2,NA,2.00051681368826
"83","darkturquoise",TRUE,2.66e-06,2329,477,126,0.264,0.054,"GO:0051171","BP",1,"regulation of nitrogen compound metabolic process",2,NA,2.52252162385024
"84","darkturquoise",TRUE,0.000394,3411,477,159,0.333,0.047,"GO:0031323","BP",1,"regulation of cellular metabolic process",2,NA,1.89332455605549
"85","darkturquoise",TRUE,1.92e-07,2237,477,126,0.264,0.056,"GO:0031326","BP",1,"regulation of cellular biosynthetic process",3,NA,2.50965594931063
"86","darkturquoise",TRUE,4.1e-09,2044,477,123,0.258,0.06,"GO:2000112","BP",1,"regulation of cellular macromolecule biosynthetic process",4,NA,2.61786123316354
"87","darkturquoise",TRUE,9.87e-07,2145,477,120,0.252,0.056,"GO:0019219","BP",1,"regulation of nucleobase-containing compound metabolic process",3,NA,2.54363765006364
"88","darkturquoise",TRUE,6.56e-07,1961,477,113,0.237,0.058,"GO:0051252","BP",1,"regulation of RNA metabolic process",4,NA,2.64709635843187
"89","darkturquoise",TRUE,1.06e-07,1880,477,112,0.235,0.06,"GO:2001141","BP",1,"regulation of RNA biosynthetic process",5,NA,2.70401950583149
"90","darkturquoise",TRUE,1.2e-07,1860,477,111,0.233,0.06,"GO:1903506","BP",1,"regulation of nucleic acid-templated transcription",6,NA,2.71930869254579
"91","darkturquoise",TRUE,2.34e-07,1833,477,109,0.229,0.059,"GO:0006355","BP",1,"regulation of transcription, DNA-templated",7,NA,2.72722240291115
"92","darkturquoise",TRUE,1.56e-05,642,477,50,0.105,0.078,"GO:0051276","BP",5,"chromosome organization",1,NA,3.74271313812018
"93","darkturquoise",TRUE,0.0213,450,477,33,0.069,0.073,"GO:0006325","BP",5,"chromatin organization",1,NA,4.04411468291474
"94","darkturquoise",TRUE,0.0464,366,477,28,0.059,0.077,"GO:0016568","BP",5,"chromatin modification",2,NA,4.29909388528477
"95","darkturquoise",TRUE,1.57e-06,3264,477,163,0.342,0.05,"GO:0031974","CC",3,"membrane-enclosed lumen",1,NA,2.11753978628716
"96","darkturquoise",TRUE,0.000186,5353,477,229,0.48,0.043,"GO:0044422","CC",3,"organelle part",1,NA,1.39654167757144
"97","darkturquoise",TRUE,4.71e-06,3231,477,160,0.335,0.05,"GO:0043233","CC",3,"organelle lumen",2,NA,2.12773692576892
"98","darkturquoise",TRUE,0.0303,8495,477,320,0.671,0.038,"GO:0044424","CC",3,"intracellular part",1,NA,0.465375469578815
"99","darkturquoise",TRUE,0.00012,5240,477,226,0.474,0.043,"GO:0044446","CC",3,"intracellular organelle part",2,NA,1.42975381177755
"100","darkturquoise",TRUE,1.67e-06,3187,477,160,0.335,0.05,"GO:0070013","CC",3,"intracellular organelle lumen",3,NA,2.12801397245305
"101","darkturquoise",TRUE,0.0242,6479,477,256,0.537,0.04,"GO:0043231","CC",3,"intracellular membrane-bounded organelle",1,NA,0.948868868810718
"102","darkturquoise",TRUE,1.72e-07,4007,477,194,0.407,0.048,"GO:0005634","CC",3,"nucleus",2,NA,1.45008311116636
"103","darkturquoise",TRUE,2.51e-08,2920,477,156,0.327,0.053,"GO:0044428","CC",3,"nuclear part",3,NA,1.96995217652905
"104","darkturquoise",TRUE,4.41e-07,2718,477,144,0.302,0.053,"GO:0031981","CC",3,"nuclear lumen",4,NA,2.17539200032436
"105","darkturquoise",TRUE,3.05e-06,2334,477,126,0.264,0.054,"GO:0005654","CC",3,"nucleoplasm",4,NA,2.53472674135937
"106","darkturquoise",TRUE,0.000268,702,477,50,0.105,0.071,"GO:0001071","MF",4,"nucleic acid binding transcription factor activity",1,NA,3.87815913911736
"107","darkturquoise",TRUE,0.000268,702,477,50,0.105,0.071,"GO:0003700","MF",4,"transcription factor activity, sequence-specific DNA binding",2,NA,3.88363860488198
"108","darkturquoise",TRUE,0.000106,2320,477,120,0.252,0.052,"GO:1901363","MF",2,"heterocyclic compound binding",1,NA,2.0671567429894
"109","darkturquoise",TRUE,0.000341,2369,477,120,0.252,0.051,"GO:0097159","MF",2,"organic cyclic compound binding",1,NA,2.04856939564928
"110","darkturquoise",TRUE,5.11e-07,1881,477,110,0.231,0.058,"GO:0003676","MF",2,"nucleic acid binding",2,NA,2.22908025716741
"111","darkturquoise",TRUE,0.00119,1139,477,68,0.143,0.06,"GO:0003723","MF",2,"RNA binding",3,NA,2.84477372826373
"112","darkturquoise",TRUE,0.00552,980,477,59,0.124,0.06,"GO:0044822","MF",2,"poly(A) RNA binding",4,NA,3.10286973300159
"113","turquoise",TRUE,0.000357,200,1369,43,0.031,0.215,"GO:1903034","BP",1,"regulation of response to wounding",1,NA,5.3353439322379
"114","turquoise",TRUE,0.000234,246,1369,50,0.037,0.203,"GO:0051606","BP",3,"detection of stimulus",1,NA,5.93496505478702
"115","turquoise",TRUE,0.0182,85,1369,22,0.016,0.259,"GO:0050906","BP",3,"detection of stimulus involved in sensory perception",2,NA,6.66447987951784
"116","turquoise",TRUE,0.00423,1500,1369,192,0.14,0.128,"GO:0044459","CC",4,"plasma membrane part",1,NA,3.2682105300278
"117","turquoise",TRUE,0.00496,1625,1369,205,0.15,0.126,"GO:0031224","CC",4,"intrinsic component of membrane",1,NA,3.57986334973867
"118","turquoise",TRUE,0.00478,1568,1369,199,0.145,0.127,"GO:0016021","CC",4,"integral component of membrane",2,NA,3.65097172867844
"119","turquoise",TRUE,0.000336,1078,1369,151,0.11,0.14,"GO:0031226","CC",4,"intrinsic component of plasma membrane",1,NA,4.25309188699209
"120","turquoise",TRUE,0.000339,1034,1369,146,0.107,0.141,"GO:0005887","CC",4,"integral component of plasma membrane",1,NA,4.3556206334774
"121","turquoise",TRUE,0.00747,709,1369,103,0.075,0.145,"GO:0005615","CC",6,"extracellular space",1,NA,3.52349420192233
"122","turquoise",TRUE,0.0386,8,1369,6,0.004,0.75,"GO:0045095","CC",2,"keratin filament",1,NA,7.92130470429747
"123","turquoise",TRUE,0.0128,513,1369,79,0.058,0.154,"GO:0004888","MF",5,"transmembrane signaling receptor activity",1,NA,4.27275457498862
"124","midnightblue",TRUE,0.0115,780,368,41,0.111,0.053,"GO:0007267","BP",1,"cell-cell signaling",1,NA,4.51789903500038
"125","midnightblue",TRUE,0.00409,488,368,31,0.084,0.064,"GO:0007268","BP",1,"synaptic transmission",2,NA,5.246292154622
"126","midnightblue",TRUE,0.0462,130,368,13,0.035,0.1,"GO:0022898","BP",3,"regulation of transmembrane transporter activity",1,NA,5.52949994667886
"127","midnightblue",TRUE,0.0425,129,368,13,0.035,0.101,"GO:0032412","BP",3,"regulation of ion transmembrane transporter activity",1,NA,5.54751845218154
"128","midnightblue",TRUE,0.0153,279,368,21,0.057,0.075,"GO:0045202","CC",2,"synapse",1,NA,4.91652259522356
"129","skyblue",TRUE,0.0159,4170,356,139,0.39,0.033,"GO:0006807","BP",1,"nitrogen compound metabolic process",1,NA,2.03896255219888
