"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"salmon","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",0.00645089804276941
"brown","Schizophrenia_possible__DiseaseGenes","Brain",0.00657641057682745
"brown","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",0.00681755986584208
"midnightblue","mutationMouse__JAXdiseaseGene","Brain",0.00729963554871935
"green","brown_M15_Astrocyte__CTX","Brain",0.00739485483644917
"green","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",0.00743631006270316
"green","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",0.00842489975540108
"grey60","pink_M14_GlutamatergicSynapticFunction__CTX","Brain",0.00933853492623198
"midnightblue","magenta_M8_Microglia(Type2)__HumanMeta","Brain",0.0105623553982521
"lightcyan","black_M11__CTX","Brain",0.0107574012837544
"salmon","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.0122223578308556
"lightyellow","GABAergicNeuronsInMouseCortex_Sugino__MO","Brain",0.0126983813496833
"royalblue","upInFrontalCortex__EarlyAD","Brain",0.0130310368469736
"lightgreen","pink_downAD_synapticTransmission__Blalock_AD","Brain",0.0131377264215769
"greenyellow","yellow_Caudate__HumanChimp","Brain",0.0158174713773645
"green","blue_M16_Neuron__CTX","Brain",0.0160924446206826
"tan","Nucleus_Foster__MO","Brain",0.0161959140980692
"tan","black_M1_PvalbInterneurons__HumanMeta","Brain",0.0166040952095323
"brown","red_upAD_transferase_oncogenesis__Blalock_AD","Brain",0.0170021850936117
"lightyellow","Schizophrenia_possible__DiseaseGenes","Brain",0.0172112239759341
"magenta","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.0173248769051246
"lightyellow","CA1specific_Newrzella__CA1vsCA3","Brain",0.0184846476863632
"brown","upInFrontalCortex__EarlyAD","Brain",0.018607987560103
"black","turquoise_Cerebellum__HumanChimp","Brain",0.0198534902723298
"midnightblue","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",0.0223370140149618
"lightyellow","green_glutamatergicNeurons__Sugino/Winden","Brain",0.0249967529757481
"royalblue","Choroid plexus__ABA","Brain",0.0254512000813214
"magenta","black_M1_PvalbInterneurons__HumanMeta","Brain",0.0264122427124918
"cyan","Autism_associated_module_M12__Voineagu","Brain",0.0290306731518472
"tan","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",0.031391940515222
"yellow","black_WhiteMatter__HumanChimp","Brain",0.0315946119238465
"magenta","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.0325558942136312
"tan","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",0.0353447173345199
"red","downInHippocampus__EarlyAD","Brain",0.0378884457421966
"greenyellow","PresynapticCompartmentProteins_Morciano__MO","Brain",0.0437516133583242
"salmon","blue_M2_Oligodendrocytes__HumanMeta","Brain",0.0493476966532671
"cyan","yellow_Caudate__HumanChimp","Brain",0.0496459501409725
