"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"849","lightcyan",TRUE,0.0177,343,730,37,0.051,0.108,"GO:0008134","MF",4,"transcription factor binding",4,NA,4.08818329846065
"850","lightcyan",TRUE,0.00541,1112,730,90,0.123,0.081,"GO:0019899","MF",4,"enzyme binding",4,NA,2.96296190106457
"851","lightcyan",TRUE,3.93e-12,2369,730,200,0.274,0.084,"GO:0097159","MF",4,"organic cyclic compound binding",3,NA,2.04856939564928
"852","lightcyan",TRUE,7.84e-15,1881,730,177,0.242,0.094,"GO:0003676","MF",4,"nucleic acid binding",4,NA,2.22908025716741
"853","lightcyan",TRUE,0.00165,470,730,49,0.067,0.104,"GO:0001067","MF",4,"regulatory region nucleic acid binding",5,NA,3.6925037407752
"854","lightcyan",TRUE,1.32e-06,829,730,83,0.114,0.1,"GO:0003677","MF",4,"DNA binding",5,NA,3.02386008327117
"855","lightcyan",TRUE,0.00252,463,730,48,0.066,0.104,"GO:0043565","MF",4,"sequence-specific DNA binding",6,NA,3.85832079689769
"856","lightcyan",TRUE,0.00165,470,730,49,0.067,0.104,"GO:0000975","MF",4,"regulatory region DNA binding",6,NA,3.6925037407752
"857","lightcyan",TRUE,0.00165,470,730,49,0.067,0.104,"GO:0044212","MF",4,"transcription regulatory region DNA binding",7,NA,3.69705264930157
"858","lightcyan",TRUE,0.00272,304,730,36,0.049,0.118,"GO:0001012","MF",4,"RNA polymerase II regulatory region DNA binding",8,NA,4.50608497160982
"859","lightcyan",TRUE,0.00562,353,730,39,0.053,0.11,"GO:0000976","MF",4,"transcription regulatory region sequence-specific DNA binding",8,NA,4.27546093658636
"860","lightcyan",TRUE,0.00272,304,730,36,0.049,0.118,"GO:0000977","MF",4,"RNA polymerase II regulatory region sequence-specific DNA binding",9,NA,4.50950377835861
"861","lightcyan",TRUE,3.02e-06,1139,730,103,0.141,0.09,"GO:0003723","MF",4,"RNA binding",5,NA,2.84477372826373
"862","lightcyan",TRUE,4.03e-06,980,730,92,0.126,0.094,"GO:0044822","MF",4,"poly(A) RNA binding",6,NA,3.10286973300159
"863","lightcyan",TRUE,0.00538,420,730,44,0.06,0.105,"GO:0000988","MF",4,"transcription factor activity, protein binding",2,NA,4.26736372635374
"864","lightcyan",TRUE,0.0105,417,730,43,0.059,0.103,"GO:0000989","MF",4,"transcription factor activity, transcription factor binding",3,NA,4.28089573257232
"865","lightcyan",TRUE,0.0159,396,730,41,0.056,0.104,"GO:0003712","MF",4,"transcription cofactor activity",4,NA,4.36914642066368
"866","lightcyan",TRUE,0.0267,231,730,28,0.038,0.121,"GO:0003713","MF",4,"transcription coactivator activity",5,NA,4.9551489637723
"867","lightcyan",TRUE,0.00866,105,730,18,0.025,0.171,"GO:0051427","MF",2,"hormone receptor binding",1,NA,5.37407322525447
"868","lightcyan",TRUE,0.000982,91,730,18,0.025,0.198,"GO:0035257","MF",2,"nuclear hormone receptor binding",2,NA,5.45886976191455
"869","lightgreen",TRUE,0.0322,609,457,39,0.085,0.064,"GO:0032990","BP",1,"cell part morphogenesis",1,NA,4.58503833783801
"870","lightgreen",TRUE,0.0238,601,457,39,0.085,0.065,"GO:0048858","BP",1,"cell projection morphogenesis",2,NA,4.60609174703584
"871","lightgreen",TRUE,0.0408,278,457,23,0.05,0.083,"GO:0004674","MF",2,"protein serine/threonine kinase activity",1,NA,4.46922987922067
"872","pink",TRUE,0.045,397,658,37,0.056,0.093,"GO:0016071","BP",2,"mRNA metabolic process",1,NA,4.86963874375238
"873","pink",TRUE,0.000266,491,658,49,0.074,0.1,"GO:0006396","BP",2,"RNA processing",1,NA,4.79839200387969
"874","pink",TRUE,0.000107,257,658,33,0.05,0.128,"GO:0008380","BP",2,"RNA splicing",2,NA,5.34025794704033
"875","pink",TRUE,0.0195,266,658,29,0.044,0.109,"GO:0006397","BP",2,"mRNA processing",2,NA,5.26439219626562
"876","pink",TRUE,0.0271,3264,658,192,0.292,0.059,"GO:0031974","CC",1,"membrane-enclosed lumen",1,NA,2.11753978628716
"877","pink",TRUE,0.0315,3231,658,190,0.289,0.059,"GO:0043233","CC",1,"organelle lumen",1,NA,2.12773692576892
"878","pink",TRUE,0.013,3187,658,190,0.289,0.06,"GO:0070013","CC",1,"intracellular organelle lumen",1,NA,2.12801397245305
"879","pink",TRUE,0.00903,4007,658,231,0.351,0.058,"GO:0005634","CC",1,"nucleus",1,NA,1.45008311116636
"880","pink",TRUE,0.00736,2920,658,178,0.271,0.061,"GO:0044428","CC",1,"nuclear part",2,NA,1.96995217652905
"881","pink",TRUE,0.0043,2718,658,169,0.257,0.062,"GO:0031981","CC",1,"nuclear lumen",3,NA,2.17539200032436
"882","pink",TRUE,0.00802,2334,658,148,0.225,0.063,"GO:0005654","CC",1,"nucleoplasm",3,NA,2.53472674135937
"883","midnightblue",TRUE,0.000137,383,333,28,0.084,0.073,"GO:0006897","BP",6,"endocytosis",1,NA,5.00448968792091
"884","midnightblue",TRUE,3.13e-06,133,333,18,0.054,0.135,"GO:0006909","BP",6,"phagocytosis",1,NA,6.30965850422843
"885","midnightblue",TRUE,0.0196,33,333,7,0.021,0.212,"GO:0050764","BP",6,"regulation of phagocytosis",2,NA,7.06994498762601
"886","midnightblue",TRUE,1.34e-10,6873,333,223,0.67,0.032,"GO:0065007","BP",11,"biological regulation",1,NA,0.656987066703161
"887","midnightblue",TRUE,0.00129,2087,333,81,0.243,0.039,"GO:0065008","BP",11,"regulation of biological quality",2,NA,2.78674164094539
"888","midnightblue",TRUE,6.15e-05,1743,333,75,0.225,0.043,"GO:0065009","BP",11,"regulation of molecular function",2,NA,2.95407451982538
"889","midnightblue",TRUE,8.13e-06,1102,333,57,0.171,0.052,"GO:0044093","BP",11,"positive regulation of molecular function",3,NA,3.52979114087751
"890","midnightblue",TRUE,6.39e-16,5016,333,193,0.58,0.038,"GO:0050896","BP",11,"response to stimulus",1,NA,1.49874197786895
"891","midnightblue",TRUE,5.41e-05,2250,333,90,0.27,0.04,"GO:0042221","BP",11,"response to chemical",2,NA,2.70755432746898
