"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"magenta","CA3specific_Newrzella__CA1vsCA3","Brain",3.34671566830074e-07
"salmon","Astrocyte_probable__Cahoy","Brain",5.36960152332645e-07
"magenta","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",5.98975775950039e-07
"lightyellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",6.00519711448345e-07
"lightyellow","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",6.16805789635329e-07
"pink","Somatic__MitochondrialType","Brain",9.05051390872029e-07
"magenta","greenyellow_downAD_ionAndCalciumTransport__Blalock_AD","Brain",9.20535871698786e-07
"lightyellow","Neuron_definite__Cahoy","Brain",1.53135721676428e-06
"green","Neuron_definite__Cahoy","Brain",2.66788958717673e-06
"salmon","Oligodendrocyte_probable__Cahoy","Brain",3.64943247487134e-06
"purple","yellow_M18__CTX","Brain",4.55555775794483e-06
"magenta","magenta_downAD_synapticTransmission__Blalock_AD","Brain",7.09192385620807e-06
"magenta","green_CortexAndCerebellum__HumanChimp","Brain",1.07571840779506e-05
"midnightblue","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",1.11396934828067e-05
"magenta","Neuron__ABA","Brain",1.58463505915022e-05
"lightyellow","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",1.91603810291266e-05
"purple","Oligodendrocyte_probable__Cahoy","Brain",1.99898937897837e-05
"tan","powderblue_M13_Neurogenesis__CTX","Brain",2.03543288852672e-05
"pink","blue_Interneurons_Hippocampus(Sst+)/Cingulate(Pvalb+)__Sugino/Winden","Brain",2.26820712147317e-05
"black","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",2.42186992297384e-05
"green","brown_Cortex__HumanChimp","Brain",3.37757252945387e-05
"salmon","turquoise_M9_Oligodendrocyte__CTX","Brain",5.40907499408845e-05
"black","blue_M16_Neuron__CTX","Brain",7.10058806137871e-05
"midnightblue","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",0.000103818146499656
"lightgreen","Oligodendrocyte_probable__Cahoy","Brain",0.000112101703514496
"lightgreen","turquoise_M14_Nucleus__MouseMeta","Brain",0.000135405827204042
"green","purple_downAD_synapticTransmission__Blalock_AD","Brain",0.000149662380877786
"midnightblue","orange_M5_Microglia(Type2)__CTX","Brain",0.000168913021262687
"pink","CA1specific_Newrzella__CA1vsCA3","Brain",0.000184267934835731
"lightyellow","Autism_associated_module_M12__Voineagu","Brain",0.00018435515326907
"black","turquoise_M14_Nucleus__HumanMeta","Brain",0.000205129245508081
"brown","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",0.000299690376114608
"pink","darkolivegreen_M6_PvalbInterneurons__CTX","Brain",0.000325763096450271
"magenta","yellow_M18__CTX","Brain",0.000416214090037328
"brown","turquoise_upAging_oligo__Lu_Aging","Brain",0.000467305771474033
"tan","pink_M10_Microglia(Type1)__MouseMeta","Brain",0.000482102960715206
"green","brown_M15_Astrocyte__CTX","Brain",0.000483691008597853
"lightyellow","downInHippocampus__EarlyAD","Brain",0.000574379092968537
"black","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",0.000860352966619566
"lightyellow","magenta_downAD_synapticTransmission__Blalock_AD","Brain",0.00101555654756942
"magenta","turquoise_M14_Nucleus__MouseMeta","Brain",0.00108428696840854
"tan","magenta_downAD_synapticTransmission__Blalock_AD","Brain",0.00129828426891238
"midnightblue","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.00163556610701538
"lightyellow","PresynapticCompartmentProteins_Morciano__MO","Brain",0.0019132221290181
"magenta","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.00192370717844041
"magenta","tan_M13_Neuron__MouseMeta","Brain",0.00202899530071488
"grey60","green_M5_Mitochondria__HumanMeta","Brain",0.00217225139048026
"grey60","PostSynapticDensity_proteins__Bayes","Brain",0.0026174045454049
"lightcyan","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.00294949779786962
"midnightblue","mutationMouse__JAXdiseaseGene","Brain",0.0041041477812113
"pink","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",0.00470259399470657
"brown","PostSynapticDensity_proteins__Bayes","Brain",0.00485322368167749
"midnightblue","mutationHuman__JAXdiseaseGene","Brain",0.0052513713940678
"midnightblue","upInHippocampus__EarlyAD","Brain",0.00528229142398611
"tan","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.0069742577046796
"magenta","PresynapticCompartmentProteins_Morciano__MO","Brain",0.00704966285992594
"magenta","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",0.00711928964257408
"lightgreen","PostSynapticDensity_proteins__Bayes","Brain",0.00772977392858001
"tan","salmon_M8__CTX","Brain",0.00909410774749687
"grey60","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",0.0121619820002647
"yellow","Schizophrenia_possible__DiseaseGenes","Brain",0.0124494159631908
"midnightblue","upMacrophageActivagtion_GSE1910__MicrogialMarkers","Brain",0.0129357379898041
"black","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.0133096884190345
"green","Mitochondria_Foster__MO","Brain",0.0147696061939179
"lightyellow","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",0.016576803691944
"lightyellow","purple_downAD_synapticTransmission__Blalock_AD","Brain",0.016576803691944
"purple","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.016795062159013
"tan","CA3specific_Newrzella__CA1vsCA3","Brain",0.019965962546228
"salmon","black_M11__CTX","Brain",0.0204549498347208
"lightgreen","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.0228738582603858
"brown","Cytoplasm_Foster__MO","Brain",0.0230335915256049
"midnightblue","upMacrophageAndMGactivagtion_GSE1910__MicrogialMarkers","Brain",0.023188088593596
"lightcyan","honeydew_M7_Mitochondria__CTX","Brain",0.0240917165382401
"tan","red_LGN_interneurons__Sugino/Winden","Brain",0.0286069379938577
"salmon","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.0290342991149446
"black","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.0296201657503621
"lightcyan","cyan_M4_Mitochondria__MouseMeta","Brain",0.0320099862600383
"grey60","pink_M14_GlutamatergicSynapticFunction__CTX","Brain",0.0359295394916578
"green","PresynapticCompartmentProteins_Morciano__MO","Brain",0.0447991533385481
"green","green_CortexAndCerebellum__HumanChimp","Brain",0.0454354579493587
