"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"cyan","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",0.00331503576033879
"cyan","CA1specific_Newrzella__CA1vsCA3","Brain",0.00350063218662602
"blue","green_CortexAndCerebellum__HumanChimp","Brain",0.00380132991530077
"grey60","Synaptic__MitochondrialType","Brain",0.00496481137667655
"cyan","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",0.00540166854707777
"blue","CA3specific_Lein__CA1vsCA3","Brain",0.00578117738245168
"purple","brown_M15_Astrocyte__CTX","Brain",0.00643214976627176
"blue","salmon_M8__CTX","Brain",0.00818634974343892
"tan","green_M5_Mitochondria__MouseMeta","Brain",0.0091529279581531
"pink","Astrocyte_probable__Cahoy","Brain",0.0113916611408008
"black","Oligodendrocyte_probable__Cahoy","Brain",0.0124702886903742
"pink","black_M11__CTX","Brain",0.0152345689084208
"black","salmon_M12_Ribosome__HumanMeta","Brain",0.0159793450930709
"red","mutationHuman__JAXdiseaseGene","Brain",0.0184841834156438
"greenyellow","PostSynapticDensity_proteins__Bayes","Brain",0.0191334431068166
"grey60","Mitochondria_Foster__MO","Brain",0.0219964514839101
"tan","Somatic__MitochondrialType","Brain",0.022274561551674
"grey60","PresynapticCompartmentProteins_Morciano__MO","Brain",0.0227861906877463
"red","upWithABeta_MGactivation_GSE772__MicrogialMarkers","Brain",0.0281160187625779
"blue","blue_M16_Neuron__CTX","Brain",0.0313094565561275
"midnightblue","Mitochondria_Foster__MO","Brain",0.0317389082702789
"grey60","tan_M13_Neuron__MouseMeta","Brain",0.0357460305874197
"midnightblue","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.0373397985561449
