"","query.number","significant","p.value","term.size","query.size","overlap.size","recall","precision","term.id","domain","subgraph.number","term.name","relative.depth","intersection","IC"
"107","lightcyan",TRUE,0.000579,909,524,63,0.12,0.069,"GO:0010629","BP",1,"negative regulation of gene expression",2,NA,3.59041576269394
"108","lightcyan",TRUE,0.00113,706,524,52,0.099,0.074,"GO:0045892","BP",1,"negative regulation of transcription, DNA-templated",3,NA,3.8792400397245
"109","lightcyan",TRUE,0.00164,695,524,51,0.097,0.073,"GO:0044265","BP",1,"cellular macromolecule catabolic process",1,NA,4.23673164356979
"110","lightcyan",TRUE,0.0111,81,524,13,0.025,0.16,"GO:0045814","BP",1,"negative regulation of gene expression, epigenetic",1,NA,7.32125941590691
"111","lightcyan",TRUE,0.000142,642,524,51,0.097,0.079,"GO:0051276","BP",4,"chromosome organization",1,NA,3.74271313812018
"112","lightcyan",TRUE,0.000215,450,524,40,0.076,0.089,"GO:0006325","BP",4,"chromatin organization",2,NA,4.04411468291474
"113","lightcyan",TRUE,0.0429,366,524,30,0.057,0.082,"GO:0016568","BP",4,"chromatin modification",3,NA,4.29909388528477
"114","lightcyan",TRUE,0.0129,242,524,24,0.046,0.099,"GO:0018205","BP",7,"peptidyl-lysine modification",1,NA,4.8304180305991
"115","lightcyan",TRUE,1.05e-15,3264,524,205,0.391,0.063,"GO:0031974","CC",5,"membrane-enclosed lumen",1,NA,2.11753978628716
"116","lightcyan",TRUE,4.44e-10,8097,524,369,0.704,0.046,"GO:0043226","CC",5,"organelle",1,NA,0.565605514134331
"117","lightcyan",TRUE,2.84e-14,5353,524,285,0.544,0.053,"GO:0044422","CC",5,"organelle part",2,NA,1.39654167757144
"118","lightcyan",TRUE,7.31e-16,3231,524,204,0.389,0.063,"GO:0043233","CC",5,"organelle lumen",3,NA,2.12773692576892
"119","lightcyan",TRUE,3.87e-11,7579,524,355,0.677,0.047,"GO:0043227","CC",5,"membrane-bounded organelle",2,NA,0.734472452582356
"120","lightcyan",TRUE,0.00279,2930,524,149,0.284,0.051,"GO:0032991","CC",5,"macromolecular complex",1,NA,1.98185141259867
"121","lightcyan",TRUE,0.0265,2479,524,126,0.24,0.051,"GO:0043234","CC",5,"protein complex",2,NA,2.23278970177206
"122","lightcyan",TRUE,0.00579,13,524,6,0.011,0.462,"GO:0005852","CC",5,"eukaryotic translation initiation factor 3 complex",3,NA,7.68014264748058
"123","lightcyan",TRUE,0.0089,9915,524,400,0.763,0.04,"GO:0005623","CC",5,"cell",1,NA,0.275255071864458
"124","lightcyan",TRUE,0.00653,9895,524,400,0.763,0.04,"GO:0044464","CC",5,"cell part",1,NA,0.27551579406643
"125","lightcyan",TRUE,8.06e-11,8662,524,390,0.744,0.045,"GO:0005622","CC",5,"intracellular",2,NA,0.458202476180666
"126","lightcyan",TRUE,1.33e-11,8495,524,387,0.739,0.046,"GO:0044424","CC",5,"intracellular part",3,NA,0.465375469578815
"127","lightcyan",TRUE,8.03e-15,7076,524,349,0.666,0.049,"GO:0043229","CC",5,"intracellular organelle",4,NA,0.76882230233395
"128","lightcyan",TRUE,2.28e-14,5240,524,281,0.536,0.054,"GO:0044446","CC",5,"intracellular organelle part",5,NA,1.42975381177755
"129","lightcyan",TRUE,1.39e-16,3187,524,204,0.389,0.064,"GO:0070013","CC",5,"intracellular organelle lumen",6,NA,2.12801397245305
"130","lightcyan",TRUE,2.73e-17,6479,524,335,0.639,0.052,"GO:0043231","CC",5,"intracellular membrane-bounded organelle",5,NA,0.948868868810718
"131","lightcyan",TRUE,9.06e-22,4007,524,252,0.481,0.063,"GO:0005634","CC",5,"nucleus",6,NA,1.45008311116636
"132","lightcyan",TRUE,7.78e-22,2920,524,205,0.391,0.07,"GO:0044428","CC",5,"nuclear part",7,NA,1.96995217652905
"133","lightcyan",TRUE,0.0257,10,524,5,0.01,0.5,"GO:0035145","CC",5,"exon-exon junction complex",8,NA,7.3747609979294
"134","lightcyan",TRUE,6.03e-19,2718,524,189,0.361,0.07,"GO:0031981","CC",5,"nuclear lumen",8,NA,2.17539200032436
"135","lightcyan",TRUE,5.47e-16,2334,524,164,0.313,0.07,"GO:0005654","CC",5,"nucleoplasm",8,NA,2.53472674135937
"136","lightcyan",TRUE,0.000615,578,524,46,0.088,0.08,"GO:0005730","CC",5,"nucleolus",8,NA,3.84530928074357
"137","lightcyan",TRUE,0.0253,486,524,37,0.071,0.076,"GO:1990234","CC",2,"transferase complex",1,NA,3.95444922024393
"138","lightcyan",TRUE,0.0398,78,524,12,0.023,0.154,"GO:0008168","MF",6,"methyltransferase activity",1,NA,5.2517836474962
"139","lightcyan",TRUE,0.041,91,524,13,0.025,0.143,"GO:0035257","MF",3,"nuclear hormone receptor binding",1,NA,5.45886976191455
"140","lightcyan",TRUE,0.00176,10878,524,434,0.828,0.04,"GO:0003674","MF",8,"molecular_function",1,NA,0
"141","lightcyan",TRUE,0.0158,420,524,34,0.065,0.081,"GO:0000988","MF",8,"transcription factor activity, protein binding",2,NA,4.26736372635374
"142","lightcyan",TRUE,0.0136,417,524,34,0.065,0.082,"GO:0000989","MF",8,"transcription factor activity, transcription factor binding",3,NA,4.28089573257232
"143","lightcyan",TRUE,0.0117,396,524,33,0.063,0.083,"GO:0003712","MF",8,"transcription cofactor activity",4,NA,4.36914642066368
"144","lightcyan",TRUE,0.0188,231,524,23,0.044,0.1,"GO:0003713","MF",8,"transcription coactivator activity",5,NA,4.9551489637723
"145","lightcyan",TRUE,3.75e-05,8799,524,374,0.714,0.043,"GO:0005488","MF",8,"binding",2,NA,0.278529033833506
"146","lightcyan",TRUE,4.61e-07,2320,524,138,0.263,0.059,"GO:1901363","MF",8,"heterocyclic compound binding",3,NA,2.0671567429894
"147","lightcyan",TRUE,0.00846,7841,524,330,0.63,0.042,"GO:0005515","MF",8,"protein binding",3,NA,0.556417711578738
"148","lightcyan",TRUE,5.1e-07,2369,524,140,0.267,0.059,"GO:0097159","MF",8,"organic cyclic compound binding",3,NA,2.04856939564928
"149","lightcyan",TRUE,1.39e-07,1881,524,120,0.229,0.064,"GO:0003676","MF",8,"nucleic acid binding",4,NA,2.22908025716741
"150","lightcyan",TRUE,6.07e-06,1139,524,80,0.153,0.07,"GO:0003723","MF",8,"RNA binding",5,NA,2.84477372826373
"151","lightcyan",TRUE,1.51e-05,980,524,71,0.135,0.072,"GO:0044822","MF",8,"poly(A) RNA binding",6,NA,3.10286973300159
"152","grey60",TRUE,4.38e-09,277,514,37,0.072,0.134,"GO:0043062","BP",5,"extracellular structure organization",1,NA,6.17612711160391
"153","grey60",TRUE,3.92e-09,276,514,37,0.072,0.134,"GO:0030198","BP",5,"extracellular matrix organization",2,NA,6.18755580742753
"154","grey60",TRUE,0.0314,194,514,20,0.039,0.103,"GO:0001501","BP",1,"skeletal system development",1,NA,5.26439219626562
